sequence,open_time,close,ema9,ema26,crossover_type,days_from_start,price_diff_abs
164,2025-04-24 17:30:00,1755.41,1761.7297202688637,1762.574977525341,死叉,82.72916666666667,14.990000000000009
165,2025-04-24 20:00:00,1766.29,1762.9445131377017,1762.7487308040888,金叉,82.83333333333333,10.879999999999882
166,2025-04-24 21:00:00,1752.55,1760.7160884081293,1761.9426018553575,死叉,82.875,13.740000000000009
167,2025-04-24 23:00:00,1769.54,1762.6429098119702,1762.3600324208123,金叉,82.95833333333333,16.99000000000001
168,2025-04-25 02:30:00,1744.61,1761.0130954798,1762.7070225704128,死叉,83.10416666666667,24.930000000000064
169,2025-04-25 05:00:00,1768.6,1762.5699615268213,1762.52441893234,金叉,83.20833333333333,23.99000000000001
170,2025-04-26 12:00:00,1797.32,1799.0430943474503,1799.27346085697,死叉,84.5,28.720000000000027
171,2025-04-26 16:00:00,1803.11,1797.809105359756,1797.7585474372952,金叉,84.66666666666667,5.789999999999964
172,2025-04-27 04:30:00,1798.2,1810.9567157216225,1811.628909237715,死叉,85.1875,4.9099999999998545
173,2025-04-27 21:00:00,1803.85,1801.9417667021967,1801.747870049273,金叉,85.875,5.649999999999864
174,2025-04-27 22:00:00,1789.55,1799.6327306894061,1800.9302040888826,死叉,85.91666666666667,14.299999999999955
175,2025-04-28 06:30:00,1804.69,1792.7454850377958,1791.084730359757,金叉,86.27083333333333,15.1400000000001
176,2025-04-28 14:30:00,1781.92,1796.7363117103102,1798.8047100511785,死叉,86.60416666666667,22.769999999999982
177,2025-04-28 22:00:00,1793.46,1787.0058309199455,1786.5484486774544,金叉,86.91666666666667,11.539999999999964
178,2025-04-29 21:00:00,1796.31,1814.101384220547,1816.619240464985,死叉,87.875,2.849999999999909
179,2025-04-30 11:00:00,1810.31,1805.0357305841421,1804.9681294955221,金叉,88.45833333333333,14.0
180,2025-04-30 12:30:00,1775.46,1799.1902940590812,1802.9132603448425,死叉,88.52083333333333,34.84999999999991
181,2025-04-30 20:30:00,1794.01,1785.1864932452368,1784.9008260358942,金叉,88.85416666666667,18.549999999999955
182,2025-05-02 05:30:00,1832.1,1841.2331855853988,1842.3544878336534,死叉,90.22916666666667,38.08999999999992
183,2025-05-02 14:00:00,1844.58,1835.281035701332,1834.561849701375,金叉,90.58333333333333,12.480000000000018
184,2025-05-02 22:30:00,1835.2,1841.0449291432228,1841.4385034131033,死叉,90.9375,9.379999999999882
185,2025-05-03 14:30:00,1835.2,1831.4871874076616,1831.2938524255133,金叉,91.60416666666667,0.0
186,2025-05-03 17:00:00,1820.7,1829.413484769743,1830.7334970874717,死叉,91.70833333333333,14.5
187,2025-05-03 19:30:00,1838.21,1830.93313868935,1830.7111874594239,金叉,91.8125,17.50999999999999
188,2025-05-04 04:30:00,1830.63,1834.6471550402057,1834.8681880859424,死叉,92.1875,7.579999999999927
189,2025-05-04 05:00:00,1842.31,1836.1797240321646,1835.4194334129095,金叉,92.20833333333333,11.679999999999836
190,2025-05-04 09:00:00,1825.06,1835.2824526186805,1836.2731474871503,死叉,92.375,17.25
191,2025-05-04 20:30:00,1836.17,1831.757907584134,1831.1787533459114,金叉,92.85416666666667,11.110000000000127
192,2025-05-04 22:30:00,1818.02,1828.8044229464617,1830.3055999551157,死叉,92.9375,18.15000000000009
193,2025-05-05 07:30:00,1826.59,1815.1147660796985,1814.965844881445,金叉,93.3125,8.569999999999936
194,2025-05-05 11:00:00,1802.51,1814.0660413113576,1815.6521389197978,死叉,93.45833333333333,24.079999999999927
195,2025-05-05 18:30:00,1822.61,1813.0433630290859,1811.7472699205616,金叉,93.77083333333333,20.09999999999991
196,2025-05-06 02:00:00,1796.62,1811.6174362842467,1813.6949883124807,死叉,94.08333333333333,25.99000000000001
197,2025-05-06 22:30:00,1811.11,1787.1432837956158,1783.8294393262006,金叉,94.9375,14.490000000000009
198,2025-05-07 15:30:00,1817.31,1825.7118382200522,1826.2614589595737,死叉,95.64583333333333,6.2000000000000455
199,2025-05-08 00:30:00,1827.13,1814.0595891358607,1813.3193243951441,金叉,96.02083333333333,9.820000000000164
200,2025-05-11 08:00:00,2487.41,2512.9039446328143,2514.1788741980636,死叉,99.33333333333333,660.2799999999997
201,2025-05-11 11:30:00,2530.67,2514.78001636946,2513.482136400815,金叉,99.47916666666667,43.26000000000022
202,2025-05-11 13:00:00,2501.57,2512.9908083811642,2513.1851313957595,死叉,99.54166666666667,29.09999999999991
203,2025-05-11 20:30:00,2509.91,2500.2226147697984,2499.1209418840926,金叉,99.85416666666667,8.33999999999969
204,2025-05-12 15:00:00,2502.38,2529.2703128821845,2532.994880330973,死叉,100.625,7.529999999999745
205,2025-05-13 10:00:00,2481.79,2468.733899992073,2466.8100340387946,金叉,101.41666666666667,20.590000000000146
206,2025-05-14 08:30:00,2597.3,2641.45863052681,2644.1649632824647,死叉,102.35416666666667,115.51000000000022
207,2025-05-15 00:00:00,2632.7,2607.411594906466,2606.151594405998,金叉,103.0,35.399999999999636
208,2025-05-15 01:30:00,2577.62,2606.02593659211,2606.379699364615,死叉,103.0625,55.07999999999993
209,2025-05-15 17:00:00,2595.32,2563.0164590700188,2560.992080890943,金叉,103.70833333333333,17.700000000000273
210,2025-05-15 18:00:00,2542.21,2560.2189338048124,2560.3242668818098,死叉,103.75,53.11000000000013
211,2025-05-16 01:30:00,2566.8,2549.5966439694375,2548.896553799642,金叉,104.0625,24.590000000000146
212,2025-05-16 17:30:00,2578.05,2588.986149886157,2590.025388121081,死叉,104.72916666666667,11.25
213,2025-05-18 02:30:00,2481.2,2479.4274026551084,2479.372964285539,金叉,106.10416666666667,96.85000000000036
214,2025-05-18 03:00:00,2468.77,2477.2959221240867,2478.587559523647,死叉,106.125,12.429999999999836
215,2025-05-18 04:30:00,2485.91,2479.7415121275326,2479.2683481967683,金叉,106.1875,17.139999999999873
216,2025-05-18 18:30:00,2463.01,2513.4595381573,2516.403681393659,死叉,106.77083333333333,22.899999999999636
217,2025-05-19 14:00:00,2434.21,2414.691945220461,2414.293122555925,金叉,107.58333333333333,28.800000000000182
218,2025-05-20 11:00:00,2508.39,2524.471675046585,2526.2850754407445,死叉,108.45833333333333,74.17999999999984
219,2025-05-20 22:00:00,2501.45,2497.667292194551,2497.557479043166,金叉,108.91666666666667,6.940000000000055
220,2025-05-21 10:30:00,2528.8,2538.440061543473,2538.481199829905,死叉,109.4375,27.350000000000364
221,2025-05-21 11:00:00,2551.77,2541.1060492347788,2539.46555539806,金叉,109.45833333333333,22.9699999999998
222,2025-05-21 13:00:00,2529.54,2538.943437766566,2539.103153910533,死叉,109.54166666666667,22.230000000000018
223,2025-05-21 13:30:00,2546.66,2540.486750213253,2539.6629202875306,金叉,109.5625,17.11999999999989
224,2025-05-21 17:30:00,2472.79,2533.4329507122584,2541.1283126240132,死叉,109.72916666666667,73.86999999999989
225,2025-05-21 23:30:00,2550.99,2528.5505002887867,2526.7699323603597,金叉,109.97916666666667,78.19999999999982
226,2025-05-22 21:30:00,2635.9,2642.975553137554,2642.9869763252677,死叉,110.89583333333333,84.91000000000031
227,2025-05-22 22:00:00,2644.62,2643.3044425100434,2643.1079410419147,金叉,110.91666666666667,8.7199999999998
228,2025-05-22 22:30:00,2635.76,2641.7955540080347,2642.563649112884,死叉,110.9375,8.859999999999673
229,2025-05-22 23:00:00,2650.16,2643.468443206428,2643.126341771189,金叉,110.95833333333333,14.399999999999636
230,2025-05-23 11:00:00,2649.53,2668.235113515519,2670.2387711575443,死叉,111.45833333333333,0.6299999999996544
231,2025-05-24 10:30:00,2570.1,2557.2817013893036,2555.345760867788,金叉,112.4375,79.43000000000029
232,2025-05-24 14:00:00,2549.79,2555.1584853191985,2555.7465709816033,死叉,112.58333333333333,20.309999999999945
233,2025-05-24 17:00:00,2559.0,2556.0170646955166,2555.909899360164,金叉,112.70833333333333,9.210000000000036
234,2025-05-24 18:30:00,2549.41,2555.767537124105,2555.917464690472,死叉,112.77083333333333,9.590000000000146
235,2025-05-25 14:00:00,2515.72,2509.174739372752,2508.9074150026017,金叉,113.58333333333333,33.690000000000055
236,2025-05-25 14:30:00,2505.99,2508.5377914982014,2508.6913101875944,死叉,113.60416666666667,9.730000000000018
237,2025-05-25 17:00:00,2516.79,2508.1410075181316,2507.9634710386463,金叉,113.70833333333333,10.800000000000182
238,2025-05-26 14:30:00,2550.51,2558.585224045354,2559.1314820208418,死叉,114.60416666666667,33.720000000000255
239,2025-05-26 15:30:00,2565.99,2559.7005433890267,2559.445317233232,金叉,114.64583333333333,15.479999999999563
240,2025-05-26 16:00:00,2544.21,2556.6024347112216,2558.3167752159557,死叉,114.66666666666667,21.779999999999745
241,2025-05-26 21:30:00,2562.57,2553.3497699026743,2552.9816178848973,金叉,114.89583333333333,18.360000000000127
242,2025-05-27 01:00:00,2527.31,2550.9481331210936,2553.105558148038,死叉,115.04166666666667,35.26000000000022
243,2025-05-27 05:00:00,2555.59,2551.761532933694,2551.3561183970587,金叉,115.20833333333333,28.2800000000002
244,2025-05-28 01:30:00,2634.47,2652.4790377422805,2653.8687190778132,死叉,116.0625,78.87999999999965
245,2025-05-28 12:00:00,2671.59,2647.3248966876677,2644.0708695600347,金叉,116.5,37.120000000000346
246,2025-05-28 15:00:00,2631.27,2644.912297397292,2645.479830449701,死叉,116.625,40.320000000000164
247,2025-05-28 17:30:00,2652.8,2645.412349611145,2644.9902665293853,金叉,116.72916666666667,21.5300000000002
248,2025-05-28 18:30:00,2636.17,2643.561903751133,2644.3650158859614,死叉,116.77083333333333,16.63000000000011
249,2025-05-28 23:00:00,2677.8,2648.846946845152,2644.58330746053,金叉,116.95833333333333,41.63000000000011
250,2025-05-29 13:00:00,2686.64,2710.241849107196,2711.809959262126,死叉,117.54166666666667,8.83999999999969
251,2025-05-31 14:00:00,2538.69,2530.0846806370855,2529.077350684263,金叉,119.58333333333333,147.94999999999982
252,2025-05-31 23:30:00,2528.06,2535.416077597878,2535.4633987499883,死叉,119.97916666666667,10.63000000000011
253,2025-06-01 15:30:00,2523.23,2507.7520386653737,2507.6780072903616,金叉,120.64583333333333,4.829999999999927
254,2025-06-02 03:00:00,2494.16,2518.9334809321613,2522.6577449181277,死叉,121.125,29.070000000000164
255,2025-06-02 14:00:00,2530.99,2501.2758692427424,2501.0803738658296,金叉,121.58333333333333,36.82999999999993
256,2025-06-03 21:30:00,2589.22,2610.841280441417,2612.701732378956,死叉,122.89583333333333,58.23000000000002
257,2025-06-04 03:00:00,2634.16,2613.4876803809393,2610.7136759640975,金叉,123.125,44.940000000000055
258,2025-06-04 13:30:00,2614.78,2622.9298023982296,2624.1125597486443,死叉,123.5625,19.379999999999654
259,2025-06-04 14:30:00,2640.38,2624.7862735348667,2624.536172624009,金叉,123.60416666666667,25.59999999999991
260,2025-06-04 20:00:00,2613.38,2629.3116875819505,2630.9682845061852,死叉,123.83333333333333,27.0
261,2025-06-05 04:30:00,2630.37,2621.620799090498,2620.572605157428,金叉,124.1875,16.98999999999978
262,2025-06-05 05:30:00,2613.11,2619.8977114179197,2620.0827410471775,死叉,124.22916666666667,17.259999999999764
263,2025-06-05 12:30:00,2631.66,2614.384787969548,2614.0073381462084,金叉,124.52083333333333,18.549999999999727
264,2025-06-05 13:30:00,2589.87,2611.873064300511,2613.270324199424,死叉,124.5625,41.789999999999964
265,2025-06-06 10:30:00,2481.8,2468.9682163946463,2468.6066957201065,金叉,125.4375,108.06999999999971
266,2025-06-06 23:00:00,2478.8,2488.1306515544766,2488.4433224614154,死叉,125.95833333333333,3.0
267,2025-06-07 05:00:00,2489.01,2484.8640881901583,2484.445740528201,金叉,126.20833333333333,10.210000000000036
268,2025-06-08 04:00:00,2511.93,2514.472528771207,2514.533469788305,死叉,127.16666666666667,22.919999999999618
269,2025-06-08 04:30:00,2516.22,2514.822023016966,2514.6583979521342,金叉,127.1875,4.289999999999964
270,2025-06-08 05:30:00,2511.41,2514.220894730858,2514.4638391222,死叉,127.22916666666667,4.809999999999945
271,2025-06-08 08:30:00,2516.36,2514.773177908327,2514.559064401298,金叉,127.35416666666667,4.950000000000273
272,2025-06-08 09:00:00,2499.4,2511.6985423266615,2513.436170741943,死叉,127.375,16.960000000000036
273,2025-06-08 15:00:00,2516.32,2511.149688727223,2510.845035763147,金叉,127.625,16.920000000000073
274,2025-06-08 23:30:00,2509.83,2519.38174089571,2520.2979982950574,死叉,127.97916666666667,6.4900000000002365
275,2025-06-09 10:00:00,2532.2,2503.0352731874996,2501.818950493006,金叉,128.41666666666666,22.36999999999989
276,2025-06-11 09:30:00,2759.29,2778.0192646149476,2778.7530934641413,死叉,130.39583333333334,227.09000000000015
277,2025-06-11 12:30:00,2805.08,2779.519095543221,2778.2454959284278,金叉,130.52083333333334,45.789999999999964
278,2025-06-11 22:00:00,2759.29,2803.733242370572,2809.751860421906,死叉,130.91666666666666,45.789999999999964
279,2025-06-13 16:30:00,2561.91,2548.6875886770663,2548.1506102198255,金叉,132.6875,197.3800000000001
280,2025-06-13 17:00:00,2535.22,2545.9940709416533,2547.192787240579,死叉,132.70833333333334,26.690000000000055
281,2025-06-13 21:30:00,2553.99,2543.53926068374,2543.507608320412,金叉,132.89583333333334,18.769999999999982
282,2025-06-14 06:00:00,2545.22,2552.1541744368687,2552.818970641055,死叉,133.25,8.769999999999982
283,2025-06-14 23:30:00,2530.76,2523.8806593463887,2523.8646793397324,金叉,133.97916666666666,14.459999999999582
284,2025-06-15 08:30:00,2520.6,2529.75709216574,2530.230313852443,死叉,134.35416666666666,10.16000000000031
285,2025-06-15 13:30:00,2543.03,2527.163927554538,2526.447460402484,金叉,134.5625,22.43000000000029
286,2025-06-15 20:30:00,2503.34,2531.154037221549,2534.080191978001,死叉,134.85416666666666,39.690000000000055
287,2025-06-15 23:00:00,2544.49,2534.2622413167574,2533.8550566231397,金叉,134.95833333333334,41.149999999999636
288,2025-06-16 23:00:00,2575.0,2624.809783477863,2628.181026609039,死叉,135.95833333333334,30.51000000000022
289,2025-06-18 04:00:00,2529.52,2522.1611239236786,2521.875507240803,金叉,137.16666666666666,45.48000000000002
290,2025-06-18 10:30:00,2494.79,2521.385320731404,2524.630433960818,死叉,137.4375,34.73000000000002
291,2025-06-18 21:30:00,2528.36,2510.534542172144,2508.2373776290765,金叉,137.89583333333334,33.570000000000164
292,2025-06-19 14:00:00,2518.85,2524.21219706923,2524.2731302863667,死叉,138.58333333333334,9.510000000000218
293,2025-06-19 22:30:00,2523.59,2512.4954232811688,2512.353766207113,金叉,138.9375,4.7400000000002365
294,2025-06-20 04:30:00,2504.17,2515.3321036623456,2515.790722248001,死叉,139.1875,19.420000000000073
295,2025-06-20 06:30:00,2521.47,2516.8385416600972,2516.1281015166787,金叉,139.27083333333334,17.299999999999727
296,2025-06-20 14:30:00,2490.01,2531.3228161671,2533.300786344577,死叉,139.60416666666666,31.45999999999958
